timestamp,event,step,grpo_step,rollout/mean,rollout/std,rollout/max,rollout/min,reward_mean,reward_std,group_reward_variance_mean,advantage_mean,advantage_std,zero_variance_group_ratio,effective_group_ratio,rollout/effective_rollout_ratio,format_reward_mean,answer_reward_mean,rollout/answer_zero_variance_group_ratio,all_correct_group_ratio,all_wrong_group_ratio,mixed_group_ratio,generated_response_tokens,rollout/prompt_tokens,total_rollout_tokens,average_response_length,cumulative_generated_response_tokens,cumulative_rollout_tokens
1789654260.1275017,rollout,28,29,0.9093749523162842,0.40028512477874756,1.100000023841858,0.0,0.9093749523162842,0.40028512477874756,0.0686328187584877,3.3527612686157227e-08,0.5773489475250244,0.625,0.375,0.375,0.96875,0.8125,0.625,0.625,0.0,0.375,19798,3368,23166,309.34375,682988,795924
1789654269.0593903,rollout,29,30,0.8828125,0.43408530950546265,1.100000023841858,0.0,0.8828125,0.43408530950546265,0.1076367199420929,4.6566128730773926e-08,0.666665256023407,0.5,0.5,0.5,0.859375,0.796875,0.5,0.5,0.0,0.5,22486,3800,26286,351.34375,705474,822210
1789654286.4994712,rollout,30,31,0.8203125596046448,0.46944063901901245,1.100000023841858,0.0,0.8203125596046448,0.46944063901901245,0.08556640893220901,3.5390257835388184e-08,0.7453503608703613,0.375,0.625,0.625,0.859375,0.734375,0.5,0.375,0.125,0.5,21564,3536,25100,336.9375,727038,847310
1789654295.5890484,rollout,31,32,0.859375,0.4388725757598877,1.100000023841858,0.0,0.859375,0.4388725757598877,0.1524609476327896,6.332993507385254e-08,0.8164948225021362,0.25,0.75,0.75,0.9375,0.765625,0.25,0.25,0.0,0.75,23252,3424,26676,363.3125,750290,873986
1789654305.5274258,rollout,32,33,0.614062488079071,0.5224688649177551,1.100000023841858,0.0,0.614062488079071,0.5224688649177551,0.14173829555511475,5.587935447692871e-08,0.8819129467010498,0.125,0.875,0.875,0.828125,0.53125,0.25,0.125,0.125,0.75,26221,3152,29373,409.703125,776511,903359
1789654314.5383544,rollout,33,34,0.7671874761581421,0.49826833605766296,1.100000023841858,0.0,0.7671874761581421,0.49826833605766296,0.09919922798871994,5.21540641784668e-08,0.745354175567627,0.375,0.625,0.625,0.796875,0.6875,0.375,0.375,0.0,0.625,21772,3864,25636,340.1875,798283,928995
1789654323.6682286,rollout,34,35,0.823437511920929,0.4641914665699005,1.100000023841858,0.0,0.823437511920929,0.4641914665699005,0.013808595016598701,-0.0009313048794865608,0.47140371799468994,0.75,0.25,0.25,0.890625,0.734375,0.875,0.625,0.25,0.125,23502,3672,27174,367.21875,821785,956169
1789654332.511877,rollout,35,36,0.7953125238418579,0.4732292592525482,1.100000023841858,0.0,0.7953125238418579,0.4732292592525482,0.05787109583616257,-5.587935447692871e-09,0.5773440599441528,0.625,0.375,0.375,0.921875,0.703125,0.75,0.625,0.125,0.25,20604,3576,24180,321.9375,842389,980349
1789654341.681002,rollout,36,37,0.8187500238418579,0.4720354676246643,1.100000023841858,0.0,0.8187500238418579,0.4720354676246643,0.04261719062924385,3.4458935260772705e-08,0.6666605472564697,0.5,0.5,0.5,0.84375,0.734375,0.625,0.5,0.125,0.375,24647,4208,28855,385.109375,867036,1009204
1789654350.7365816,rollout,37,38,0.9749999642372131,0.3333333432674408,1.100000023841858,0.10000000149011612,0.9749999642372131,0.3333333432674408,0.0898437574505806,6.332993507385254e-08,0.6666651368141174,0.5,0.5,0.5,1.0,0.875,0.5,0.5,0.0,0.5,21624,3368,24992,337.875,888660,1034196
1789654359.479011,rollout,38,39,0.9124999642372131,0.39339789748191833,1.100000023841858,0.10000000149011612,0.9124999642372131,0.39339789748191833,0.1093750074505806,5.774199962615967e-08,0.7453542351722717,0.375,0.625,0.625,1.0,0.8125,0.375,0.375,0.0,0.625,20024,4296,24320,312.875,908684,1058516
